updated_barcode	sample	matched_initial_sample	replicate	category	batch	initial_treatment	initial_survived	divided	best_rep	pass_qc_filter	pass_qc_rep_filter	matched_initital_pass	wang_sc_mes_top_50	wang_sc_pro_bottom_50	Patel_Bernstein_stemness	matched_wang_sc_mes_top_50	matched_wang_sc_pro_bottom_50	matched_Patel_Bernstein_stemness	mapped	unique	total	unique/total	gfp	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS
B1_010222_M059K_S242_L003	B1_010222_M059K_S242_L003	NA	NA	I	10	U	N	NA	-	Y	Y	NA	-0.292544544	-0.352239198	-0.026185663	NA	NA	NA	2522761	2396266	7406912	0.323517547	0	240942500	237182515	3223202	69949603	42649223	71259967	50100520	0	0	0	201310	207616	8060	0.49229	0.50771	0.01359	0.294919	0.179816	0.300444	0.211232	0.474735	0.467327	0	1.455271	0.039787	0.290243	0
B1_020321_M059K_FUCCI_S276_L003	B1_020321_M059K_FUCCI_S276_L003	NA	NA	FUCCI	11	NA	NA	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	22524	20260	185760	0.109065461	2	2028706	1999318	425117	507808	198547	511183	356663	0	0	0	1406	1441	144	0.493853	0.506147	0.212631	0.253991	0.099307	0.255679	0.178392	0.353298	0.34818	0	0.836424	0.223313	0.630054	0.126353
B1_021121_M059K_S1_L003	B1_021121_M059K_S1_L003	NA	NA	I	3	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	692833	571664	2474602	0.231012502	0	57478213	56446812	29101285	21388393	888364	2142948	2925822	0	0	0	47173	48759	9438	0.491734	0.508266	0.515552	0.378912	0.015738	0.037964	0.051833	0.39465	0.387569	0	1.868876	0	0.606806	0
B1_030321_M059K_FUCCI_S285_L003	B1_030321_M059K_FUCCI_S285_L003	NA	NA	FUCCI	11	NA	NA	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	174852	155268	2761618	0.056223562	0	15590881	15261787	486279	236768	699681	8723444	5115615	0	0	0	1675	2157	1503	0.437109	0.562891	0.031863	0.015514	0.045845	0.571587	0.335191	0.061359	0.060064	0	2.804871	0	0	0
B1_041121_M059K_S11_L003	B1_041121_M059K_S11_L003	NA	NA	I	3	U	N	NA	-	Y	Y	NA	-0.388979835	0.021218228	-0.223243479	NA	NA	NA	30295	20068	517432	0.03878384	0	2019721	1982120	9402	1013975	550318	234645	173780	0	0	0	2985	2989	26	0.499665	0.500335	0.004743	0.511561	0.277641	0.118381	0.087674	0.789202	0.774509	0	1.182931	0	0.748297	0
B1_051121_M059K_S22_L003	B1_051121_M059K_S22_L003	NA	NA	I	3	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	2809	1760	1046440	0.001681893	0	174068	168805	17275	29295	9922	65070	47243	0	0	0	92	80	5	0.534884	0.465116	0.102337	0.173543	0.058778	0.385474	0.279867	0.232321	0.225297	0	0.885144	0.28057	0.473266	0.157658
B1_061221_M059K_S142_L003	B1_061221_M059K_S142_L003	NA	NA	I	1	U	N	NA	-	Y	Y	NA	0.375675895	-0.038817355	-0.09330676	NA	NA	NA	83628	75463	1768204	0.042677768	0	7581677	7386979	81823	436120	444344	3099344	3325348	0	0	0	1665	1629	127	0.505464	0.494536	0.011077	0.059039	0.060152	0.419569	0.450163	0.119191	0.116131	0	1.525683	0	1.186282	0
B1_071221_M059K_S157_L003	B1_071221_M059K_S157_L003	NA	NA	I	1	T	N	NA	-	Y	Y	NA	-0.091705344	0.061085695	-0.154445015	NA	NA	NA	87478	82136	615176	0.133516262	0	8240848	8077416	12719	436399	389783	3938475	3300040	0	0	0	1668	1642	96	0.503927	0.496073	0.001575	0.054027	0.048256	0.487591	0.408551	0.102283	0.100254	0	1.508126	0	0.653419	0
B1_111121_M059K_S41_L003	B1_111121_M059K_S41_L003	NA	NA	I	4	U	N	NA	-	Y	Y	NA	0.092008297	0.069233021	-0.303277687	NA	NA	NA	1080264	778208	4655710	0.167151305	0	78222882	76022529	1146751	4653774	4264603	35389749	30567652	0	0	0	18904	18769	987	0.501792	0.498208	0.015084	0.061216	0.056097	0.465517	0.402087	0.117312	0.114012	0	2.339787	0	0	0
B1_121121_M059K_S47_L003	B1_121121_M059K_S47_L003	NA	NA	I	4	U	N	NA	-	Y	Y	NA	0.220471123	-0.072657103	0.002882817	NA	NA	NA	307553	289866	2565534	0.112984665	6	29131566	28366377	21248	1340735	1336720	13248150	12419524	0	0	0	5516	5927	236	0.482041	0.517959	0.000749	0.047265	0.047123	0.467037	0.437826	0.094388	0.091909	0	1.194287	0	0.492284	0
B1_131221_M059K_S167_L003	B1_131221_M059K_S167_L003	NA	NA	I	2	U	N	NA	-	Y	Y	NA	-0.080375365	0.265196742	0.125841038	NA	NA	NA	1268582	1185791	3032472	0.391031146	194	119478135	118445727	3942930	68938190	27813928	11075898	6674781	0	0	0	183163	182886	2981	0.500378	0.499622	0.033289	0.582023	0.234824	0.09351	0.056353	0.816848	0.809789	0	0.916204	0	0.615827	0
B1_141221_M059K_S186_L003	B1_141221_M059K_S186_L003	NA	NA	I	2	U	N	NA	-	Y	Y	NA	-0.280161771	0.259436551	0.314485501	NA	NA	NA	365110	337648	2123138	0.159032526	2	34018936	33623181	1884297	17982815	7270268	4208473	2277328	0	0	0	49178	49306	1254	0.49935	0.50065	0.056042	0.534834	0.216228	0.125166	0.067731	0.751062	0.742324	0	1.306632	0	0.721401	0
B1_160222_HeLa_S257_L003	B1_160222_HeLa_S257_L003	NA	NA	HeLa	9	NA	NA	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	833572	772338	5504792	0.140302849	0	77389760	75679093	786357	3463830	2838898	35440670	33149338	0	0	0	11920	12980	1538	0.478715	0.521285	0.010391	0.04577	0.037512	0.468302	0.438025	0.083282	0.081441	0	1.794005	0	0.804258	0
B1_161121_M059K_S49_L003	B1_161121_M059K_S49_L003	NA	NA	I	5	U	N	NA	-	Y	Y	NA	-0.081570225	0.100591652	0.096531961	NA	NA	NA	626168	591228	1545258	0.382607953	0	59491892	58088205	3818	835632	1817478	29284444	26146833	0	0	0	5995	5859	926	0.505736	0.494264	6.60E-05	0.014386	0.031288	0.504138	0.450123	0.045674	0.044596	0	1.728487	0	0	0
B1_170222_GBM63_S267_L003	B1_170222_GBM63_S267_L003	NA	NA	gbm63	9	NA	NA	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	65734	42482	1930296	0.022008024	2	4265282	4170515	26691	127009	197194	1833994	1985627	0	0	0	827	701	8	0.54123	0.45877	0.0064	0.030454	0.047283	0.439752	0.476111	0.077737	0.07601	0	0.913711	0.065451	0.902178	0
B1_180122_M059K_S195_L003	B1_180122_M059K_S195_L003	NA	NA	I	7	T	N	NA	-	Y	Y	NA	0.002624781	-0.066130538	-0.082011868	NA	NA	NA	2431497	2275686	13537532	0.168101985	0	227948598	220620232	34927	1784348	5853799	121111866	91835292	0	0	0	6542	6038	143	0.520032	0.479968	0.000158	0.008088	0.026533	0.548961	0.41626	0.034621	0.033508	0	1.59233	0	1.34793	0
B1_22_11_21_M059K_S70_L003	B1_22_11_21_M059K_S70_L003	NA	NA	I	6	T	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	24421	19334	1330904	0.014526968	0	1944031	1893322	48028	188589	190080	824908	641717	0	0	0	821	779	27	0.513125	0.486875	0.025367	0.099607	0.100395	0.435693	0.338937	0.200002	0.194785	0	1.026958	0	0.269337	0
B1_23_11_21_M059K_S89_L003	B1_23_11_21_M059K_S89_L003	NA	NA	I	6	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	809345	776910	1797064	0.432321832	0	77965084	75596175	5140	1411052	2626324	41891138	29662521	0	0	0	8714	8659	1939	0.501583	0.498417	6.80E-05	0.018666	0.034741	0.554144	0.392381	0.053407	0.051784	0	3.150263	0	0	0
B1_240122_M059K_S204_L003	B1_240122_M059K_S204_L003	NA	NA	I	8	U	N	NA	-	Y	Y	NA	-0.583943933	-0.086928749	-0.189572449	NA	NA	NA	1702395	1644080	14023896	0.117234184	0	164840305	160104270	6374356	57864763	56147174	30540971	9177006	0	0	0	288538	287115	926	0.501236	0.498764	0.039814	0.361419	0.350691	0.190757	0.057319	0.712111	0.691651	0	0.952713	0.385297	0.573589	0.031724
B1_250122_M059K_S221_L003	B1_250122_M059K_S221_L003	NA	NA	I	8	T	Y	N	-	Y	Y	NA	-0.256623143	0.178994498	-0.175943515	NA	NA	NA	2509416	2094008	10387866	0.201582115	6	209994703	204397277	5076	22894770	21823858	62799142	96874431	0	0	0	87655	77761	310	0.529906	0.470094	2.50E-05	0.112011	0.106772	0.307241	0.473952	0.218783	0.212951	0	2.169992	0	0.512849	0
B1_291121_M059K_S100_L003	B1_291121_M059K_S100_L003	NA	NA	I	0	T	N	NA	-	Y	Y	NA	-0.004635512	0.170862559	-0.201605486	NA	NA	NA	122732	116810	531518	0.219766781	2	11753662	11471059	7230	191609	411219	5893372	4967629	0	0	0	1224	1243	238	0.496149	0.503851	0.00063	0.016704	0.035848	0.51376	0.433058	0.052552	0.051289	0	1.472217	0	0.25074	0
B1_301121_M059K_S126_L003	B1_301121_M059K_S126_L003	NA	NA	I	0	T	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	8177	6705	509288	0.013165439	0	671925	651064	12647	229257	86963	183340	138857	0	0	0	537	581	3	0.480322	0.519678	0.019425	0.352127	0.133571	0.281601	0.213277	0.485697	0.470618	0	1.001691	0.404617	0.26394	0
B1_310122_M059K_S228_L003	B1_310122_M059K_S228_L003	NA	NA	I	10	T	N	NA	-	Y	Y	NA	0.151853162	0.123246075	0.229585331	NA	NA	NA	12136868	11211890	20798678	0.539067435	0	1125293537	1103933975	26208183	27641056	40274042	464220719	545589975	0	0	0	133999	135830	13733	0.496607	0.503393	0.023741	0.025039	0.036482	0.420515	0.494223	0.061521	0.060353	0	1.050963	0.080419	0.412958	0
B10_021121_M059K_S10_L003	B10_021121_M059K_S10_L003	NA	NA	I	3	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	8820	7108	1698786	0.004184164	0	712406	695615	13812	48594	35894	309207	288108	0	0	0	88	114	4	0.435644	0.564356	0.019856	0.069858	0.0516	0.444509	0.414177	0.121458	0.118595	0	1.299012	0	0.84	0
B10_051121_M059K_S35_L003	B10_051121_M059K_S35_L003	NA	NA	I	3	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	39769	31882	1348740	0.023638359	0	3201179	3117463	14385	200930	194110	1703544	1004494	0	0	0	825	925	82	0.471429	0.528571	0.004614	0.064453	0.062265	0.546452	0.322215	0.126718	0.123405	0	1.551088	0	0.29579	0
B10_061221_M059K_S151_L003	B10_061221_M059K_S151_L003	NA	NA	I	1	T	Y	N	-	Y	Y	NA	0.131259653	0.150200665	-0.243696633	NA	NA	NA	109025	102883	1180818	0.087128584	2	10344478	10154748	15900	678857	355847	4612491	4491653	0	0	0	2014	2071	66	0.493023	0.506977	0.001566	0.066851	0.035042	0.45422	0.44232	0.101894	0.100025	0	1.369999	0	0.553661	0
