sample	category	mapped	unique	total	unique/total	gfp	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS
FACS_GBM63_T_10_S169	GBM63_T	5132	3560	275602	0.012917178	2	351406	342599	19395	119198	39814	98818	65374	0	0	0	315	352	5	0.472264	0.527736	0.056611	0.347923	0.116212	0.288436	0.190818	0.464134	0.452502	0	0.83914	0.23176	0.56443	0
FACS_GBM63_T_11_S177	GBM63_T	258579	185530	612648	0.302832948	610	18360077	18188704	555309	13217288	3414402	739404	262301	0	0	0	32727	32169	592	0.504299	0.495701	0.03053	0.726676	0.187721	0.040652	0.014421	0.914397	0.905862	0	0.834635	0.505029	0.398392	0.302869
FACS_GBM63_T_12_S185	GBM63_T	1824	894	158734	0.005632064	0	83178	79512	2329	6363	11475	34190	25155	0	0	0	33	52	0	0.388235	0.611765	0.029291	0.080026	0.144318	0.429998	0.316367	0.224343	0.214456	0	1.652659	0	0	0
FACS_GBM63_T_13_S98	GBM63_T	7548	7110	44544	0.159617457	8	665120	643820	12840	390942	112002	50327	77709	0	0	0	361	355	10	0.50419	0.49581	0.019943	0.607223	0.173965	0.078169	0.1207	0.781187	0.75617	0	0.862986	0.43338	0.932325	0.307692
FACS_GBM63_T_14_S106	GBM63_T	260812	198326	302134	0.656417351	786	19296846	19122306	783575	11356457	4309977	2283908	388389	0	0	0	30363	30226	502	0.501131	0.498869	0.040977	0.593885	0.22539	0.119437	0.020311	0.819275	0.811865	0	0.921004	0.488045	0.358755	0.091549
FACS_GBM63_T_15_S114	GBM63_T	34420	27932	411032	0.06795578	206	2783965	2765495	23810	2010905	624136	64866	41778	0	0	0	5404	5410	70	0.499723	0.500277	0.00861	0.727141	0.225687	0.023455	0.015107	0.952828	0.946507	0	0.957198	0.410969	0.446403	0
FACS_GBM63_T_16_S122	GBM63_T	3740	3382	22424	0.150820549	2	322220	318396	10463	218126	62106	7550	20151	0	0	0	537	580	4	0.480752	0.519248	0.032862	0.685078	0.195059	0.023713	0.063289	0.880137	0.869692	0	0.896358	0.7009	0.061132	0
FACS_GBM63_T_17_S130	GBM63_T	6804	6264	20188	0.310283337	18	605182	593726	26629	298007	143488	90798	34804	0	0	0	729	741	9	0.495918	0.504082	0.044851	0.501927	0.241674	0.152929	0.05862	0.743601	0.729524	0	0.836208	0.55853	0.426841	0.248858
FACS_GBM63_T_18_S138	GBM63_T	6731	5424	249712	0.021721023	14	539234	533411	23679	292450	111471	49965	55846	0	0	0	784	762	14	0.507115	0.492885	0.044392	0.548264	0.208978	0.093671	0.104696	0.757242	0.749064	0	0.91307	0.410334	0.368136	0
FACS_GBM63_T_19_S146	GBM63_T	4402	3362	359544	0.009350733	12	335689	332468	17183	215698	63887	21983	13717	0	0	0	537	512	14	0.511916	0.488084	0.051683	0.648778	0.19216	0.066121	0.041258	0.840938	0.832869	0	0.810865	0.517373	0.52508	0.087262
FACS_GBM63_T_1_S97	GBM63_T	324	290	1386	0.209235209	0	28882	28419	781	15691	5529	4136	2282	0	0	0	45	40	0	0.529412	0.470588	0.027482	0.552131	0.194553	0.145536	0.080298	0.746684	0.734714	0	0	0	0	0
FACS_GBM63_T_20_S154	GBM63_T	5098494	4254978	5236364	0.812582548	57476	426886230	423730889	30382730	293297896	74908651	16169058	8972554	0	0	0	703638	705737	12738	0.499255	0.500745	0.071703	0.69218	0.176784	0.038159	0.021175	0.868963	0.86254	0	0.521971	0.579995	0.552501	0.688689
FACS_GBM63_T_21_S162	GBM63_T	26850	26742	39450	0.677870722	2	2640104	2611805	6918	53646	2534811	13770	2660	0	0	0	6369	6782	5	0.484298	0.515702	0.002649	0.02054	0.970521	0.005272	0.001018	0.991061	0.980438	0	0.920799	0.582149	0.314807	1.303922
FACS_GBM63_T_22_S170	GBM63_T	7667168	6697753	8025390	0.834570407	10762	672540104	667905800	92268152	419491254	130182791	21263823	4699780	0	0	0	1072230	1080456	24564	0.498089	0.501911	0.138145	0.628069	0.194912	0.031837	0.007037	0.822981	0.81731	0	0.494119	0.534087	0.582913	0.679386
FACS_GBM63_T_23_S178	GBM63_T	95766	83730	197620	0.423691934	96	8392539	8333952	979655	5395804	1636546	262534	59413	0	0	0	13462	13999	319	0.490222	0.509778	0.11755	0.647448	0.196371	0.031502	0.007129	0.843819	0.837929	0	1.001612	0.316236	0.398175	0
FACS_GBM63_T_24_S186	GBM63_T	192	178	866	0.205542725	0	17819	17722	1390	11984	3175	769	404	0	0	0	22	34	0	0.392857	0.607143	0.078434	0.676222	0.179156	0.043392	0.022797	0.855377	0.850721	0	0	0	0	0
