sample	matched_initial_sample	category	time	end	GSVA_score
B7LV1_141221_M059K_S307_L003	B7_141221_M059K_S192_L003	L_T	initial	Pro	-0.062977623
B3L2_T_250122_M059K_S227_L003	B3_250122_M059K_S223_L003	L_T	initial	Pro	-0.105317357
B3L2V2_291121_M059K_S302_L003	B3_291121_M059K_S102_L003	L_T	initial	Pro	-0.093805878
B3L3_291121_M059K_S116_L003	B3_291121_M059K_S102_L003	L_T	initial	Pro	-0.093805878
B10LV1_061221_M059K_S304_L003	B10_061221_M059K_S151_L003	L_T	initial	Pro	0.150200665
B6L2_23_11_21_m059k_S300_L003	B6_23_11_21_M059K_S94_L003	L_T	initial	Pro	0.063085182
B6L1_23_11_21_M059K_S96_L003	B6_23_11_21_M059K_S94_L003	L_T	initial	Pro	0.063085182
B2L_T_310122_M059K_S249_L003	B2_310122_M059K_S229_L003	L_T	initial	Pro	-0.008592555
B8L1_291121_M059K_S119_L003	B8_291121_M059K_S107_L003	L_T	initial	Pro	-0.023813615
B10LV2_131221_M059K_S168_L003	B10_131221_M059K_S179_L003	L_U	initial	Pro	-0.375268972
B11LV2_131121_M059K_S169_L003	B11_131221_M059K_S180_L003	L_U	initial	Pro	-0.136526905
B2LV2_061221_M059K_S303_L003	B2_061221_M059K_S143_L003	L_U	initial	Pro	0.04308148
B11L4V2_161121_M059K_S66_L003	B11_161121_M059K_S59_L003	L_U	initial	Pro	-0.047295803
B11L1_161121_M059K_S63_L003	B11_161121_M059K_S59_L003	L_U	initial	Pro	-0.047295803
B11L2_22_11_21_M059K_S85_L003	B11_22_11_21_M059K_S80_L003	L_U	initial	Pro	-0.357418895
B11L4_22_11_21_M059K_S87_L003	B11_22_11_21_M059K_S80_L003	L_U	initial	Pro	-0.357418895
B11L5_22_11_21_M059K_S88_L003	B11_22_11_21_M059K_S80_L003	L_U	initial	Pro	-0.357418895
B4LV2_U_010222_M059K_S255_L003	B4_010222_M059K_S245_L003	L_U	initial	Pro	0.122249387
B9L_131121_M059K_S170_L003	B9_131221_M059K_S178_L003	L_U	initial	Pro	-0.115100964
B7LV1_141221_M059K_S307_L003	B7_141221_M059K_S192_L003	L_T	longitudinal	Pro	-0.285118777
B3L2_T_250122_M059K_S227_L003	B3_250122_M059K_S223_L003	L_T	longitudinal	Pro	-0.120649918
B3L2V2_291121_M059K_S302_L003	B3_291121_M059K_S102_L003	L_T	longitudinal	Pro	-0.058313116
B3L3_291121_M059K_S116_L003	B3_291121_M059K_S102_L003	L_T	longitudinal	Pro	-0.099809562
B10LV1_061221_M059K_S304_L003	B10_061221_M059K_S151_L003	L_T	longitudinal	Pro	0.151559508
B6L2_23_11_21_m059k_S300_L003	B6_23_11_21_M059K_S94_L003	L_T	longitudinal	Pro	-0.029210065
B6L1_23_11_21_M059K_S96_L003	B6_23_11_21_M059K_S94_L003	L_T	longitudinal	Pro	0.169745687
B2L_T_310122_M059K_S249_L003	B2_310122_M059K_S229_L003	L_T	longitudinal	Pro	-0.100171563
B8L1_291121_M059K_S119_L003	B8_291121_M059K_S107_L003	L_T	longitudinal	Pro	0.121513818
B10LV2_131221_M059K_S168_L003	B10_131221_M059K_S179_L003	L_U	longitudinal	Pro	-0.164294181
B11LV2_131121_M059K_S169_L003	B11_131221_M059K_S180_L003	L_U	longitudinal	Pro	-0.087611519
B2LV2_061221_M059K_S303_L003	B2_061221_M059K_S143_L003	L_U	longitudinal	Pro	-0.046621136
B11L4V2_161121_M059K_S66_L003	B11_161121_M059K_S59_L003	L_U	longitudinal	Pro	0.075715396
B11L1_161121_M059K_S63_L003	B11_161121_M059K_S59_L003	L_U	longitudinal	Pro	0.19363853
B11L2_22_11_21_M059K_S85_L003	B11_22_11_21_M059K_S80_L003	L_U	longitudinal	Pro	0.28901759
B11L4_22_11_21_M059K_S87_L003	B11_22_11_21_M059K_S80_L003	L_U	longitudinal	Pro	-0.126602043
B11L5_22_11_21_M059K_S88_L003	B11_22_11_21_M059K_S80_L003	L_U	longitudinal	Pro	0.188434485
B4LV2_U_010222_M059K_S255_L003	B4_010222_M059K_S245_L003	L_U	longitudinal	Pro	0.05072489
B9L_131121_M059K_S170_L003	B9_131221_M059K_S178_L003	L_U	longitudinal	Pro	0.048571207
B7LV1_141221_M059K_S307_L003	B7_141221_M059K_S192_L003	L_T	initial	Mes	0.33400692
B3L2_T_250122_M059K_S227_L003	B3_250122_M059K_S223_L003	L_T	initial	Mes	-0.437069467
B3L2V2_291121_M059K_S302_L003	B3_291121_M059K_S102_L003	L_T	initial	Mes	0.046245518
B3L3_291121_M059K_S116_L003	B3_291121_M059K_S102_L003	L_T	initial	Mes	0.046245518
B10LV1_061221_M059K_S304_L003	B10_061221_M059K_S151_L003	L_T	initial	Mes	0.131259653
B6L2_23_11_21_m059k_S300_L003	B6_23_11_21_M059K_S94_L003	L_T	initial	Mes	-0.165768667
B6L1_23_11_21_M059K_S96_L003	B6_23_11_21_M059K_S94_L003	L_T	initial	Mes	-0.165768667
B2L_T_310122_M059K_S249_L003	B2_310122_M059K_S229_L003	L_T	initial	Mes	-0.315882048
B8L1_291121_M059K_S119_L003	B8_291121_M059K_S107_L003	L_T	initial	Mes	0.139582101
B10LV2_131221_M059K_S168_L003	B10_131221_M059K_S179_L003	L_U	initial	Mes	-0.112342644
B11LV2_131121_M059K_S169_L003	B11_131221_M059K_S180_L003	L_U	initial	Mes	-0.258790366
B2LV2_061221_M059K_S303_L003	B2_061221_M059K_S143_L003	L_U	initial	Mes	-0.491432989
B11L4V2_161121_M059K_S66_L003	B11_161121_M059K_S59_L003	L_U	initial	Mes	0.015604636
B11L1_161121_M059K_S63_L003	B11_161121_M059K_S59_L003	L_U	initial	Mes	0.015604636
B11L2_22_11_21_M059K_S85_L003	B11_22_11_21_M059K_S80_L003	L_U	initial	Mes	-0.160875364
B11L4_22_11_21_M059K_S87_L003	B11_22_11_21_M059K_S80_L003	L_U	initial	Mes	-0.160875364
B11L5_22_11_21_M059K_S88_L003	B11_22_11_21_M059K_S80_L003	L_U	initial	Mes	-0.160875364
B4LV2_U_010222_M059K_S255_L003	B4_010222_M059K_S245_L003	L_U	initial	Mes	-0.139279674
B9L_131121_M059K_S170_L003	B9_131221_M059K_S178_L003	L_U	initial	Mes	0.206913152
B7LV1_141221_M059K_S307_L003	B7_141221_M059K_S192_L003	L_T	longitudinal	Mes	0.347309838
B3L2_T_250122_M059K_S227_L003	B3_250122_M059K_S223_L003	L_T	longitudinal	Mes	-0.261872143
B3L2V2_291121_M059K_S302_L003	B3_291121_M059K_S102_L003	L_T	longitudinal	Mes	0.130748842
B3L3_291121_M059K_S116_L003	B3_291121_M059K_S102_L003	L_T	longitudinal	Mes	-0.051546039
B10LV1_061221_M059K_S304_L003	B10_061221_M059K_S151_L003	L_T	longitudinal	Mes	0.074803947
B6L2_23_11_21_m059k_S300_L003	B6_23_11_21_M059K_S94_L003	L_T	longitudinal	Mes	-0.276769879
B6L1_23_11_21_M059K_S96_L003	B6_23_11_21_M059K_S94_L003	L_T	longitudinal	Mes	-0.082879952
B2L_T_310122_M059K_S249_L003	B2_310122_M059K_S229_L003	L_T	longitudinal	Mes	-0.20245057
B8L1_291121_M059K_S119_L003	B8_291121_M059K_S107_L003	L_T	longitudinal	Mes	-0.032887096
B10LV2_131221_M059K_S168_L003	B10_131221_M059K_S179_L003	L_U	longitudinal	Mes	-0.164955821
B11LV2_131121_M059K_S169_L003	B11_131221_M059K_S180_L003	L_U	longitudinal	Mes	-0.03402043
B2LV2_061221_M059K_S303_L003	B2_061221_M059K_S143_L003	L_U	longitudinal	Mes	-0.089126419
B11L4V2_161121_M059K_S66_L003	B11_161121_M059K_S59_L003	L_U	longitudinal	Mes	0.130252431
B11L1_161121_M059K_S63_L003	B11_161121_M059K_S59_L003	L_U	longitudinal	Mes	0.17444667
B11L2_22_11_21_M059K_S85_L003	B11_22_11_21_M059K_S80_L003	L_U	longitudinal	Mes	-0.193431324
B11L4_22_11_21_M059K_S87_L003	B11_22_11_21_M059K_S80_L003	L_U	longitudinal	Mes	0.295139537
B11L5_22_11_21_M059K_S88_L003	B11_22_11_21_M059K_S80_L003	L_U	longitudinal	Mes	-0.312360413
B4LV2_U_010222_M059K_S255_L003	B4_010222_M059K_S245_L003	L_U	longitudinal	Mes	0.421135515
B9L_131121_M059K_S170_L003	B9_131221_M059K_S178_L003	L_U	longitudinal	Mes	-0.244774146
