sample	matched_initial_sample	category	time	GSVA_score
B7LV1_141221_M059K_S307_L003	B7_141221_M059K_S192_L003	L_T	initial	-0.113829702
B3L2_T_250122_M059K_S227_L003	B3_250122_M059K_S223_L003	L_T	initial	-0.213320495
B3L2V2_291121_M059K_S302_L003	B3_291121_M059K_S102_L003	L_T	initial	-0.09647218
B3L3_291121_M059K_S116_L003	B3_291121_M059K_S102_L003	L_T	initial	-0.09647218
B10LV1_061221_M059K_S304_L003	B10_061221_M059K_S151_L003	L_T	initial	-0.243696633
B6L2_23_11_21_m059k_S300_L003	B6_23_11_21_M059K_S94_L003	L_T	initial	-0.103560436
B6L1_23_11_21_M059K_S96_L003	B6_23_11_21_M059K_S94_L003	L_T	initial	-0.103560436
B2L_T_310122_M059K_S249_L003	B2_310122_M059K_S229_L003	L_T	initial	-0.090223469
B8L1_291121_M059K_S119_L003	B8_291121_M059K_S107_L003	L_T	initial	-0.070530135
B10LV2_131221_M059K_S168_L003	B10_131221_M059K_S179_L003	L_U	initial	0.018335411
B11LV2_131121_M059K_S169_L003	B11_131221_M059K_S180_L003	L_U	initial	-0.078450516
B2LV2_061221_M059K_S303_L003	B2_061221_M059K_S143_L003	L_U	initial	0.000131063
B11L4V2_161121_M059K_S66_L003	B11_161121_M059K_S59_L003	L_U	initial	-0.091917116
B11L1_161121_M059K_S63_L003	B11_161121_M059K_S59_L003	L_U	initial	-0.091917116
B11L2_22_11_21_M059K_S85_L003	B11_22_11_21_M059K_S80_L003	L_U	initial	0.134285864
B11L4_22_11_21_M059K_S87_L003	B11_22_11_21_M059K_S80_L003	L_U	initial	0.134285864
B11L5_22_11_21_M059K_S88_L003	B11_22_11_21_M059K_S80_L003	L_U	initial	0.134285864
B4LV2_U_010222_M059K_S255_L003	B4_010222_M059K_S245_L003	L_U	initial	-0.287706719
B9L_131121_M059K_S170_L003	B9_131221_M059K_S178_L003	L_U	initial	-0.154959335
B7LV1_141221_M059K_S307_L003	B7_141221_M059K_S192_L003	L_T	longitudinal	0.032321989
B3L2_T_250122_M059K_S227_L003	B3_250122_M059K_S223_L003	L_T	longitudinal	-0.003649081
B3L2V2_291121_M059K_S302_L003	B3_291121_M059K_S102_L003	L_T	longitudinal	-0.119660728
B3L3_291121_M059K_S116_L003	B3_291121_M059K_S102_L003	L_T	longitudinal	-0.333643364
B10LV1_061221_M059K_S304_L003	B10_061221_M059K_S151_L003	L_T	longitudinal	0.197269954
B6L2_23_11_21_m059k_S300_L003	B6_23_11_21_M059K_S94_L003	L_T	longitudinal	-0.380070098
B6L1_23_11_21_M059K_S96_L003	B6_23_11_21_M059K_S94_L003	L_T	longitudinal	-0.135800984
B2L_T_310122_M059K_S249_L003	B2_310122_M059K_S229_L003	L_T	longitudinal	-0.075767649
B8L1_291121_M059K_S119_L003	B8_291121_M059K_S107_L003	L_T	longitudinal	-0.324501735
B10LV2_131221_M059K_S168_L003	B10_131221_M059K_S179_L003	L_U	longitudinal	0.081467767
B11LV2_131121_M059K_S169_L003	B11_131221_M059K_S180_L003	L_U	longitudinal	-0.065520346
B2LV2_061221_M059K_S303_L003	B2_061221_M059K_S143_L003	L_U	longitudinal	0.265187237
B11L4V2_161121_M059K_S66_L003	B11_161121_M059K_S59_L003	L_U	longitudinal	-0.239419607
B11L1_161121_M059K_S63_L003	B11_161121_M059K_S59_L003	L_U	longitudinal	-0.184916231
B11L2_22_11_21_M059K_S85_L003	B11_22_11_21_M059K_S80_L003	L_U	longitudinal	-0.239932609
B11L4_22_11_21_M059K_S87_L003	B11_22_11_21_M059K_S80_L003	L_U	longitudinal	-0.045825032
B11L5_22_11_21_M059K_S88_L003	B11_22_11_21_M059K_S80_L003	L_U	longitudinal	0.033254102
B4LV2_U_010222_M059K_S255_L003	B4_010222_M059K_S245_L003	L_U	longitudinal	0.137134278
B9L_131121_M059K_S170_L003	B9_131221_M059K_S178_L003	L_U	longitudinal	-0.194022172
