NB	Patel-Bernstein_stemness	Glioma_stemness_PMID_29276782	Weng_stemness_PMID_30982771
B10_061221_M059K_S151_L003	-0.243696633	-0.38422643	-0.034060493
B10_071221_M059K_S166_L003	-0.019954077	0.733261722	-0.133893479
B1_010222_M059K_S242_L003	-0.026185663	-0.685532901	-0.053604552
B10_131221_M059K_S179_L003	0.018335411	-0.730736296	-0.212814114
B10_180122_M059K_S202_L003	-0.179384189	-0.160765841	-0.287966864
B10_22_11_21_M059K_S79_L003	0.082746227	0.46046299	-0.107663804
B10_310122_M059K_S237_L003	-0.22254839	0.46968645	-0.008335984
B1_041121_M059K_S11_L003	-0.223243479	-0.513993451	-0.135682405
B1_061221_M059K_S142_L003	-0.09330676	0.609168718	0.069885202
B1_071221_M059K_S157_L003	-0.154445015	-0.359715606	-0.2531477
B10LV1_061221_M059K_S304_L003	0.197269954	0.089681589	0.247642526
B10LV2_131221_M059K_S168_L003	0.081467767	-0.648541687	-0.094382148
B11_061221_M059K_S156_L003	-0.202522459	-0.393002658	-0.276056876
B1_111121_M059K_S41_L003	-0.303277687	0.29190249	-0.082733529
B11_131221_M059K_S180_L003	-0.078450516	-0.557568716	-0.191341942
B11_161121_M059K_S59_L003	-0.091917116	-0.223831148	-0.224248723
B1_121121_M059K_S47_L003	0.002882817	0.70261898	-0.303570387
B11_22_11_21_M059K_S80_L003	0.134285864	-0.225315964	-0.298491932
B1_131221_M059K_S167_L003	0.125841038	-0.12955546	0.039148793
B1_141221_M059K_S186_L003	0.314485501	0.589533827	-0.214936273
B1_161121_M059K_S49_L003	0.096531961	0.655067619	-0.208781875
B1_180122_M059K_S195_L003	-0.082011868	-0.154149335	0.05594865
B11L1_161121_M059K_S63_L003	-0.184916231	-0.256003045	-0.030132082
B11L1_291121_M059K_S121_L003	-0.246603553	-0.05806078	-0.092871996
B11L2_22_11_21_M059K_S85_L003	-0.239932609	-0.317341818	-0.368612606
B11L4_22_11_21_M059K_S87_L003	-0.045825032	-0.153472117	0.053070084
B11L4V2_161121_M059K_S66_L003	-0.239419607	-0.511686984	0.089172485
B11L5_22_11_21_M059K_S88_L003	0.033254102	-0.521582276	-0.338038599
B11LV2_131121_M059K_S169_L003	-0.065520346	0.680442691	0.081379004
B12_061221_M059K_S152_L003	-0.070343821	0.374768231	0.211971385
B12_131221_M059K_S181_L003	0.065315776	0.701994232	-0.117032009
B12_161121_M059K_S60_L003	0.079718788	-0.26861095	-0.138291377
B1_240122_M059K_S204_L003	-0.189572449	-0.848622812	0.164238385
B1_250122_M059K_S221_L003	-0.175943515	-0.584938189	-0.127987183
B1_291121_M059K_S100_L003	-0.201605486	-0.222476894	-0.322644302
B12L1_U_310122_M059K_S253_L003	-0.270301556	-0.617301296	0.040738558
B12L2_U_310122_M059K_S254_L003	-0.22891071	-0.395156749	-0.265870481
B1_310122_M059K_S228_L003	0.229585331	-0.137358924	0.171551736
B13_131221_M059K_S182_L003	0.051440118	-0.525866487	-0.230531745
B13_161121_M059K_S61_L003	-0.206575976	-0.390527137	-0.143385048
B14_131221_M059K_S183_L003	-0.018546246	0.065961269	0.06719019
B14L1V2_161121_M059K_S69_L003	-0.067372158	-0.289375085	-0.266444737
B15_131221_M059K_S184_L003	0.202167273	0.030078421	-0.049397334
B16_131221_M059K_S185_L003	-0.125673008	0.79942258	-0.065911533
B2_051121_M059K_S23_L003	-0.201157502	-0.627419016	-0.225739354
B2_061221_M059K_S143_L003	0.000131063	0.680595654	-0.232334204
B2_071221_M059K_S158_L003	0.105995668	-0.756319195	0.019308829
B2_131221_M059K_S171_L003	0.112153609	-0.17924976	-0.02299798
B2_141221_M059K_S187_L003	0.17338518	-0.04832932	0.16248854
B2_161121_M059K_S50_L003	-0.066329628	-0.3925246	-0.189283951
B2_180122_M059K_S196_L003	0.094794257	-0.231455482	0.038509071
B2_22_11_21_M059K_S71_L003	-0.202217466	-0.654135375	-0.104436842
B2_240122_M059K_S205_L003	-0.171909279	-0.520614503	-0.0145198
B2_291121_M059K_S101_L003	-0.069819634	-0.204528187	-0.339140067
B2_310122_M059K_S229_L003	-0.090223469	-0.358912019	-0.211240715
B2L_T_310122_M059K_S249_L003	-0.075767649	-0.805721526	-0.361332631
B2LV2_061221_M059K_S303_L003	0.265187237	0.421800593	0.370729229
B3_010222_M059K_S244_L003	-0.068435448	-0.706019329	-0.067921501
B3_061221_M059K_S144_L003	-0.254519444	0.546813083	-0.160008667
B3_071221_M059K_S159_L003	-0.078788124	-0.23201054	-0.137286775
B3_131221_M059K_S172_L003	-0.177509791	-0.704126456	-0.072093192
B3_141221_M059K_S188_L003	-0.092523629	0.014025037	0.079170845
B3_23_11_21_M059K_S91_L003	-0.103327517	-0.346377921	-0.260884
B3_250122_M059K_S223_L003	-0.213320495	-0.463555006	-0.087717313
B3_291121_M059K_S102_L003	-0.09647218	-0.275767071	-0.037909555
B3L2_T_250122_M059K_S227_L003	-0.003649081	-0.13432609	-0.091756263
B3L2V2_291121_M059K_S302_L003	-0.119660728	0.326038706	-0.157278002
B3L3_291121_M059K_S116_L003	-0.333643364	-0.664351481	-0.042583359
B3L_T_310122_M059K_S250_L003	0.201477493	0.109399072	-0.179437199
B4_010222_M059K_S245_L003	-0.287706719	-0.013624034	-0.156599043
B4_021121_M059K_S4_L003	0.0037699	-0.438079319	0.062092272
B4_061221_M059K_S145_L003	-0.21551654	-0.511615341	-0.215201183
B4_071221_M059K_S160_L003	-0.255400478	0.248851781	-0.392800282
B4_111121_M059K_S44_L003	-0.322424816	-0.029643785	-0.159052619
B4_131221_M059K_S173_L003	0.110675972	0.673605835	-0.007901414
B4_141221_M059K_S189_L003	0.1418907	0.207137492	0.113013893
B4_161121_M059K_S52_L003	0.169248488	0.500506568	-0.085861219
B4_23_11_21_M059K_S92_L003	-0.276750365	-0.520741529	0.030778926
B4_240122_M059K_S207_L003	-0.186165495	-0.651904725	-0.246405812
B4_250122_M059K_S224_L003	-0.169938808	-0.562163574	-0.118171837
B4_291121_M059K_S103_L003	-0.19590994	-0.208001817	-0.098291397
B4_310122_M059K_S231_L003	-0.122459583	-0.930566183	-0.21681817
B4LV2_U_010222_M059K_S255_L003	0.137134278	-0.238009984	0.01496761
B5_010222_M059K_S246_L003	-0.001422368	-0.752530994	-0.117561076
B5_061221_M059K_S146_L003	-0.289229089	-0.446951518	-0.140181647
B5_071221_M059K_S161_L003	-0.191624484	0.037398982	-0.278570121
B5_131221_M059K_S174_L003	0.055813217	0.327516799	-0.232055939
B5_141221_M059K_S190_L003	0.293153719	0.311930221	-0.125344788
B5_22_11_21_M059K_S74_L003	-0.293339865	-0.604692764	-0.252855859
B5_23_11_21_M059K_S93_L003	-0.238289165	0.332240912	-0.413149434
B5_291121_M059K_S104_L003	-0.001984158	-0.193458897	-0.232137018
B5L1_161121_M059K_S67_L003	0.007180211	-0.22114112	0.024821741
B5L2_T_301121_M059K_S136_L003	-0.262698385	-0.567894032	-0.235641137
B6_010222_M059K_S247_L003	-0.005538454	-0.711062306	0.052151031
B6_041121_M059K_S20_L003	-0.306177136	-0.454640127	-0.133747221
B6_061221_M059K_S147_L003	-0.251643594	-0.369524895	-0.272038091
B6_071221_M059K_S162_L003	-0.209245022	0.403661911	-0.331629771
B6_111121_M059K_S46_L003	-0.096943674	-0.205762983	-0.158151176
B6_131221_M059K_S175_L003	0.183963708	-0.744719686	-0.165453749
B6_141221_M059K_S191_L003	0.037748675	0.602282455	0.034559019
B6_161121_M059K_S54_L003	0.36747646	-0.256515693	-0.127322929
B6_180122_M059K_S198_L003	-0.012427504	-0.25155217	-0.141197807
B6_22_11_21_M059K_S75_L003	-0.090050933	-0.574029369	0.069156904
B6_23_11_21_M059K_S94_L003	-0.103560436	-0.579473492	-0.1131345
B6L1_23_11_21_M059K_S96_L003	-0.135800984	-0.619728354	0.102676456
B6L2_23_11_21_m059k_S300_L003	-0.380070098	0.370098984	0.174305842
B7_010222_M059K_S248_L003	-0.046043916	-0.771160488	-0.093366077
